Unnamed: 0,Unnamed: 0.1,Bengali,Example Sentence,Translation,Index,ass_translated
299,299,শিক্ষা,এটি শিক্ষা,This is learning,1,এইটো <m>শিক্ষা</m>
300,300,শিক্ষা,এটি শিক্ষা,This is learning,1,এইটো <m>সেকা</m>
301,301,শিল,এটি একটি শিল,This is a stone,2,এইটো এটা <m>শিল</m>
302,302,শুখা,এটি শুখা,This is dry,1,এইটো <m>শুকান</m>
303,303,শূন্য,এটি শূন্য,This is empty,1,এইটো <m>শূন্য</m>
304,304,শেখা,সে শেখে,He learns,1,তেওঁ <m>শিকে</m>
305,305,শৈবাল,এটি শৈবাল,This is algae,1,এইটো এটা <m>শেলাই</m>
306,306,শ্রী,শ্রী রাম এখানে আছেন,Mr. Ram is here,0,<m>শ্রী</m> ৰাম ইয়াত আছে
307,307,শ্রীবৃক্ষ,এটি একটি শ্রীবৃক্ষ,This is a bael fruit tree,2,এইটো এটা <m>শ্রী</m>
308,308,সকল,এটি সকল,This is all,1,এয়াই <m>সকলো</m>
309,309,হক্কল,এটি হক্কল,This is all,1,এয়াই <m>সকলো</m>
310,310,হগল,এটি হগল,This is all,1,এয়াই <m>সকলো</m>
311,311,সন্ধ্যা,এটি একটি সন্ধ্যা,This is an evening,2,এইটো এটা <m>সন্ধিয়া</m>
312,312,সাঁঝ,এটি একটি সাঁঝ,This is an evening,2,এইটো এটা <m>সন্ধিয়া</m>
313,313,সময়,এটি সময়,This is time ,1,এইটো <m>সময়</m>
314,314,সমান,এটি সমান, This is the same,1,এইটো <m>সমান</m>
315,315,সমানে,সমানে করলাম,I did it ceaselessly,0,<m>সমানে</m> কৰিলোঁ
316,316,হমান,এটি হমান,This is the same,1,এইটো <m>সমান</m>
317,317,সর্প,এটি একটি সর্প,This is a snake,2,এইটো এটা <m>সাপ</m>
318,318,সাপ,এটি একটি সাপ,This is a snake,2,এইটো এটা <m>সাপ</m>
319,319,সহা,সে সহে,He tolerates,1,তেওঁ <m>সহে</m> 
320,320,সাঁকো,এটি একটি সাঁকো,This is a bamboo bridge,2,এইটো এটা <m>সাঁকো</m>
321,321,সাঁচা,এটি সাঁচা,This is true,1,এইটো <m>সত্য</m>
322,322,সাঁচা,এটি সাঁচা,This is true,1,এইটো <m>সঁচা</m>
323,323,সাগর,এটি একটি সাগর,This is a sea,2,এইখন এখন <m>সাগৰ</m>
324,324,হাওর,এটি একটি হাওর,This is a waterlogged expanse,2,এইটো এটা <m>সাগৰ</m>
325,325,সাত,এটি একটি সাত,This is a seven,2,এইটো এটা <m>সাত</m>
326,326,সিংহ,এটি একটি সিংহ,This is a lion,2,এইটো এটা <m>সিংহ</m>
327,327,সোমবার,দিন সোমবার,The day is Monday,1,দিনটো <m>সোমবাৰ</m>
328,328,স্বাধীনতা,এটি স্বাধীনতা,This is freedom,1,এইটো <m>স্বাধীনতা</m>
329,329,হাচা,এটি হাচা,This is true,1,এইটো <m>সঁচা</m>
330,330,হাট,এটি একটি হাট,This is a market,2,এইখন এখন <m>হাট</m>
331,331,হাট,এটি একটি হাট,This is a market,2,এইখন এখন <m>হাটী</m>
332,332,হাত,এটি একটি হাত,This is a hand,2,এইখন এখন <m>হাত</m>
333,333,হামি,এ হামি,This is me,1,এয়া <m>আমি</m>
334,334,হাল,এটি একটি হাল, This is a situation,2,এইটো এটা  <m>হাল</m>
335,335,হিংসা,এটি হিংসা,This is jealousy,1,এইটো <m>হিংসা</m>
336,336,হিম,এটি হিম,This is winter,1,এইটো <m>হিম</m>
337,337,হিয়া,এটি একটি হিয়া,This is a heart,2,এইটো এটা <m>হিয়া</m>
338,338,হৃদয়,এটি একটি হৃদয়,This is a heart,2,এইটো এটা <m>হিয়া</m>
