,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
1630,illicit,illicite,ˌɪˈlɪsət,ijizit,illicit,illicit,0.875,0.0,0.0798611111111111,0.0833333333333333,1.0208333333333333,0.0798611111111111,1,-4.2301455,0.8242733,0.7486625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1678,pyroxene,pyroxène,ˈpaɪrɑkˌsin,piʀɔɡzə̀n,pyroxene,pyroxene,0.8181818181818182,0.1111111111111111,0.162037037037037,0.1851851851851852,1.4027777777777777,0.1736111111111111,1,-3.4636489999999998,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1685,Linne,Linné,lɪn,lɛne,Tank Top,Linnaeus,0.5,0.25,0.234375,0.2604166666666667,1.9375,0.2604166666666667,1,-3.3666080999999997,0.82372254,0.65038544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1687,fromage blanc,fromage blanc,fromage* blæŋk,fʀɔmaʒə blɑ̃k,cottage cheese,cottage cheese,0.5,0.1818181818181818,0.1363636363636363,0.1666666666666666,1.6931818181818181,0.1363636363636363,0,-12.869644000000001,0.8575185,0.6952493000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1716,carousel,carrousel,ˈkɛrəˌsɛl,kaʀʀuzəl,carousel,carousel,0.7777777777777778,0.125,0.171875,0.1979166666666666,1.546875,0.1848958333333333,1,-3.0400162,0.8143206000000001,0.6033341999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1747,blet,blettir,blet*,blɛtiʀ,blet,spots,0.5,0.3333333333333333,0.3020833333333333,0.3402777777777778,2.458333333333333,0.3402777777777778,3,-6.381899,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1771,disinfectant,désinfectant,dɪsɪnˈfɛktənt,dezɛ̃fɛktɑ̃,disinfectant,disinfectant,0.6153846153846154,0.25,0.2586805555555555,0.28125,2.1041666666666665,0.2795138888888889,1,-3.4810667,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1776,denature,dénaturer,dɪˈneɪʧər,denatyʀəʀ,denature,distort,0.7777777777777778,0.2222222222222222,0.2453703703703703,0.2777777777777778,2.0972222222222223,0.2685185185185185,2,-4.129282,0.64748186,0.59522384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1779,aileron,aileron,ˈeɪlərˌɑn,eəʀɔ̃,aileron,aileron,0.7777777777777778,0.4285714285714285,0.4285714285714285,0.4880952380952381,3.6607142857142856,0.4791666666666666,0,-6.1107683,0.8162889,0.7206244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1824,peripatetic,péripatétique,ˌpɛrəpəˈtɛtɪk,peʀipatetik,peripatetic,peripatetic,0.6153846153846154,0.0,0.0492424242424242,0.0568181818181818,0.4659090909090909,0.0492424242424242,5,-13.794455,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1869,amende honorable,amende honorable,amende* ˈɑnərəbəl,amɑ̃də ɔnɔʀabl,amends,amends,0.5882352941176471,0.1428571428571428,0.1800595238095238,0.2023809523809523,1.5803571428571428,0.1934523809523809,0,-6.992308599999999,0.685423,0.5580944999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1875,jeremiad,jérémiade,ˌʤɛrəˈmaɪəd,ʒeʀemjad,jeremiad,jeremiad,0.8181818181818182,0.375,0.1744791666666666,0.2239583333333333,2.625,0.1744791666666666,3,-1.9880943,0.9170016,0.7748225999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1895,trahison des clercs,trahison des clercs,trahison* dɪ clercs*,tʀaizɔn dəs klɛʀk,betrayal of clerics,betrayal of clerics,0.65,0.3125,0.1705729166666666,0.2005208333333333,1.765625,0.1770833333333333,0,-10.828014,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1898,sagacity,sagacité,sagacity*,saɡazite,sagacity,sagacity,0.4444444444444444,0.25,0.15625,0.171875,1.453125,0.1692708333333333,1,-3.2896428,0.75593406,0.7921421,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1937,flutist,flûtiste,ˈflutɪst,flytist,flutist,flutist,0.375,0.0,0.0119047619047619,0.0119047619047619,0.1071428571428571,0.0119047619047619,2,-3.0034478,0.8770329,0.70931584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1979,roman à clef,roman à clef,ˈroʊmən à* klɛf,ʀɔman a kləf,novel key,novel key,0.5333333333333333,0.2,0.1117424242424242,0.1325757575757576,1.0113636363636365,0.125,0,-5.574427,0.6447507,0.7076934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1991,disinter,désenterrer,disinter*,desɑ̃tɛʀʀəʀ,disinter,dig up,0.7272727272727273,0.4,0.2666666666666666,0.3041666666666666,2.6875,0.2895833333333333,5,-6.344557,0.8068156,0.56490713,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
1997,isolated,isolé,ˈaɪsəˌleɪtɪd,izɔle,isolated,isolated,0.8333333333333334,0.5,0.4645833333333333,0.5125,3.725,0.5125,4,-4.051105000000001,0.8850398000000002,0.70949423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2031,camaraderie,camaraderie,ˌkɑmərˈɑdəri,kamaʀadəʀi,camaraderie,camaraderie,0.5833333333333334,0.0,0.0583333333333333,0.0791666666666666,0.65,0.0583333333333333,0,-3.8584312999999995,0.9233821,0.5777121999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2050,mixity,mixité,mixity*,miɡzite,mixity,diversity,0.5714285714285714,0.1428571428571428,0.1607142857142857,0.1726190476190476,1.4285714285714286,0.1726190476190476,1,-3.4872522000000004,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2053,Germinal,germinal,germinal*,ʒɛʀminal,Germinal,germinal,0.4444444444444444,0.125,0.140625,0.1614583333333333,1.171875,0.1510416666666666,1,-7.494358500000001,0.78055364,0.6413894,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2114,piippu,pipa,piːppu,piːpɑː,barrel,pipa,0.333333333333333,0.2,0.225,0.25,2.0,0.245833333333333,3,-1.3900188,0.88830465,0.6414748,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2132,meininki,mening,meiniŋki,meːnɪŋ,go,my,0.5,0.375,0.346354166666667,0.385416666666667,2.8125,0.385416666666667,3,-3.9517708,0.77760243,0.6397352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2142,Espoo,Esbo,espoː,ɛsbuː,Espoo,Espoo,0.6,0.0,0.0416666666666666,0.0416666666666666,0.375,0.0416666666666666,2,-2.8185244,0.9221790999999999,0.7467397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2152,kurkku,Kvarken,kurkku,kvɑːrɕeːn,cucumber,Kvarken,0.777777777777778,0.428571428571429,0.30654761904761896,0.339285714285714,4.232142857142859,0.31845238095238104,5,-4.54667,0.7564383000000001,0.52863675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2164,moro,morgon,moro,mɔrɡuːn,moro,morning,0.714285714285714,0.333333333333333,0.329861111111111,0.361111111111111,2.7083333333333304,0.361111111111111,2,-3.2505999,0.9477196,0.56795484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2191,paneerata,panera,pɑneːrɑtɑ,pɑːneːrɑː,panerata,panera,0.333333333333333,0.25,0.234375,0.260416666666667,1.9375,0.260416666666667,3,-2.2394896,0.85254097,0.40792608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2200,prinsessa,prinsessa,prinsessɑ,prɪnsɛsɑː,princess,princess,0.444444444444444,0.111111111111111,0.115740740740741,0.125,0.916666666666667,0.125,0,-7.586709,0.91332746,0.54486644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2214,kastliina,kastlina,kɑstliːnɑ,kɐstliːnɑː,watering can,castline,0.2,0.0,0.0130208333333333,0.015625,0.15625,0.0130208333333333,1,-9.383026,0.88750696,0.85618687,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2231,binäärinen,binär,binæːrinen,biːnɛːr,binary,binary,0.6,0.444444444444444,0.416666666666667,0.458333333333333,3.36111111111111,0.458333333333333,5,-11.701678999999999,0.8886684000000001,0.7345871999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2239,viikuna,fikon,ʋiːkunɑ,fiːkuːn,FIG,fig,0.428571428571429,0.333333333333333,0.190972222222222,0.229166666666667,2.1875,0.211805555555556,4,-0.69943446,0.9476455,0.7502379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2277,trulli,troll,trulli,trɔl,trulli,troll,0.5,0.333333333333333,0.322916666666667,0.354166666666667,2.625,0.354166666666667,2,-3.6705155,0.8183695,0.6591655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2285,bongata,poäng,boŋŋɑtɑ,puːɛŋ,crowd,point,1.0,0.571428571428571,0.446428571428571,0.5,4.267857142857141,0.49404761904761896,5,-3.5442089999999995,0.8407534999999999,0.56765264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2383,hukari,huggare,hukɑri,hɵgɑːreː,hukari,chopper,0.625,0.166666666666667,0.190972222222222,0.208333333333333,1.66666666666667,0.208333333333333,3,-4.1611767,0.7780943,0.5421256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2401,klyyvari,klyvare,klyːʋɑri,klyːvɑːreː,κλυύβαρη,klyvare,0.4,0.142857142857143,0.0446428571428571,0.0595238095238095,0.946428571428571,0.0446428571428571,2,-2.5893803,0.85814166,0.5376065999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2417,aari,ar,ɑːri,ɑːr,aari,ar,0.25,0.333333333333333,0.298611111111111,0.333333333333333,2.41666666666667,0.333333333333333,2,-1.6105936,0.916842,0.8537944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2421,Raasepori,Raseborg,rɑːsepori,rɑːseːbɔrɡ,Raseborg,Raseborg,0.4,0.125,0.046875,0.0520833333333333,1.109375,0.046875,3,-1.2516711,0.8639754000000001,0.6563478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2439,kurpitsa,kurbits,kurpitsɑ,kɵrbɪts,handkerchief,kurbits,0.5,0.125,0.135416666666667,0.151041666666667,1.125,0.151041666666667,2,-3.6126046,0.8673158999999999,0.7392247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2456,sirkustirehtööri,cirkusdirektör,sirkustireɦtøːri,sɪrkɵsdiːrɛktøːr,circus director,circus director,0.4375,0.133333333333333,0.0930555555555555,0.1,0.933333333333333,0.1,5,-21.341167000000002,0.44798869999999996,0.711942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2508,hima,hem,himɑ,heːm,hima,hem,0.75,0.25,0.239583333333333,0.270833333333333,2.0625,0.270833333333333,2,-3.0209067000000003,0.9092882999999999,0.7148386999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2514,kruuna,krona,kruːnɑ,kruːnɑː,,krona,0.142857142857143,0.0,0.0083333333333333,0.0083333333333333,0.1,0.0083333333333333,2,-3.45655,0.70081866,0.69419074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2515,nyysiä,knysa,ɲysiæ,knyːsɑː,dumplings,knysa,0.714285714285714,0.4,0.283333333333333,0.325,3.575,0.283333333333333,4,-3.0278335,0.77843577,0.75358146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2543,markkinat,marknad,mɑrkkinɑt,mɐrknɑːd,Fair,market,0.555555555555556,0.222222222222222,0.215277777777778,0.240740740740741,1.77777777777778,0.238425925925926,3,-7.423311,0.8946825999999999,0.48965144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2595,rahti,frakt,rɑɦti,frɐkt,freight,freight,0.8,0.6,0.25,0.325,3.9,0.25,3,-1.4935249,0.7997848000000001,0.6638076999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2597,kokaiini,kokain,kokɑiːni,kuːkɑːiːn,cocaine,cocaine,0.444444444444444,0.142857142857143,0.151785714285714,0.166666666666667,1.32142857142857,0.166666666666667,2,-3.8917022000000006,0.8945443999999999,0.6785854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2626,kimpi,kimbe,kimpi,ɕɪmbeː,kimpi,kimbe,0.833333333333333,0.0,0.0708333333333333,0.075,0.825,0.0708333333333333,2,-2.287879,0.7501098,0.61890715,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2643,zeniitti,zenit,tseniːtti,seːniːt,zenith,zenit,0.444444444444444,0.375,0.346354166666667,0.380208333333333,2.78125,0.380208333333333,3,-8.392488499999999,0.7762977,0.54110885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2654,framille,fram,frɑmille,frɑːm,framille,forward,0.625,0.5,0.458333333333333,0.505208333333333,3.6875,0.505208333333333,4,-14.018375,0.86126304,0.68865013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2695,ympätä,ympa,ympætæ,ʏmpɑː,engraft,inoculate,0.666666666666667,0.333333333333333,0.333333333333333,0.368055555555556,2.75,0.364583333333333,3,-5.818337400000001,0.90598667,0.75151026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2750,syltty,sylta,syltty,sʏltɑː,syltty,jam,0.5,0.166666666666667,0.211805555555556,0.229166666666667,1.875,0.225694444444444,2,-3.273376,0.80401766,0.75678974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2767,hurtti,hurtig,hurtti,hɵrtiːɡ,dashing,fast,0.571428571428571,0.333333333333333,0.128472222222222,0.145833333333333,2.7083333333333304,0.128472222222222,2,-2.9555945,0.8190192,0.77530867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2806,praasu,brasa,prɑːsu,brɑːsɑː,please,ember,0.428571428571429,0.0,0.0541666666666666,0.0583333333333333,0.6,0.0541666666666666,3,-3.264186,0.9548679,0.30979037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2830,niitti,nit,niːtti,niːt,rivet,nit,0.333333333333333,0.4,0.3625,0.4,2.9,0.4,3,-3.2701404,0.7402538000000001,0.5416167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2860,Finström,Finström,finstrøm,fɪnstrøːm,Finström,Finström,0.222222222222222,0.0,0.0104166666666666,0.0104166666666666,0.09375,0.0104166666666666,0,-7.240386999999999,0.83941054,0.5200948000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2885,omstart,omstart,omstɑrt,ɔmstɐrt,restart,restart,0.285714285714286,0.0,0.0148809523809523,0.0178571428571428,0.142857142857143,0.0148809523809523,0,-7.933584700000001,0.8553854999999999,0.6042304000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loan
2924,иероглиф,иеро́глиф,ijjeroɡlijf,ieróɡlʲif,hieroglyph,hieroglyph,0.4545454545454545,0.3636363636363636,0.2481060606060606,0.2765151515151515,2.022727272727273,0.2765151515151515,1,-4.436274500000001,0.8562156999999999,0.83137095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
2970,метаматематика,метаматематика,mjetɑmɑtjemɑtijkɑ,mʲetamatʲematʲika,metamathematics,metamathematics,0.4705882352941176,0.1764705882352941,0.1801470588235294,0.2034313725490196,1.5441176470588236,0.1985294117647058,0,-15.574589000000001,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
2997,бөкебай,пухо́вый,bʏkjebɑj,puxóvɨj,бөкебай,downy,0.875,0.25,0.1692708333333333,0.1874999999999999,1.640625,0.1822916666666666,7,-3.523232,0.8330495000000001,0.5843092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3011,хошұн,хошу́н,χoʃʊn,xoʂún,fragrance,good,0.6,0.2,0.0333333333333333,0.0333333333333333,0.3,0.0333333333333333,2,-1.1066871999999999,0.6223566999999999,0.8287468000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3043,пәтер,фатера,pætjer,fatʲera,apartment,fatera,0.5714285714285714,0.3333333333333333,0.1284722222222222,0.1875,2.6875,0.1284722222222222,3,-1.6316823999999999,0.90983677,0.6965908000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3044,инерция,ине́рция,ijnjertsijjɑ,inért͡sia,inertia,inertia,0.5833333333333334,0.5833333333333334,0.3836805555555556,0.4270833333333332,3.125,0.4253472222222221,1,-5.1263510000000005,0.8782032,0.8017488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3051,комбайн,комба́йн,kombɑjn,kombájn,combine,combine,0.1428571428571428,0.1428571428571428,0.0089285714285714,0.0119047619047619,0.1071428571428571,0.0089285714285714,1,-5.239256,0.85649794,0.8453531999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3062,стратиграфия,стратигра́фия,strɑtijɡrɑfijjɑ,stratʲiɡráfʲia,stratigraphy,stratigraphy,0.5333333333333333,0.2666666666666666,0.1972222222222222,0.2222222222222222,1.6666666666666667,0.2180555555555555,1,-7.193402000000001,0.9114216999999999,0.68340003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3082,кәстөм,костюм,kæstʏm,kostʲum,my suit,suit,0.4285714285714285,0.0,0.0486111111111111,0.0486111111111111,0.5416666666666666,0.0486111111111111,2,-3.6024652,0.8802802,0.66575974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3087,пролетар,пролетарий,proljetɑr,prolʲetarʲij,proletarian,proletarian,0.4166666666666667,0.3,0.1708333333333333,0.2,2.125,0.1791666666666666,2,-15.160476999999998,0.94635147,0.81144536,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3088,радиоаппарат,ра̀диоаппара́т,rɑdijoɑppɑrɑt,ràdʲioapparát,radio,radio equipment,0.4615384615384615,0.2307692307692307,0.0913461538461538,0.1057692307692307,0.8269230769230769,0.0993589743589743,2,-6.047097,0.8581703000000002,0.65359014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3106,кибернетика,киберне́тика,kijbjernjetijkɑ,kʲibʲernétʲika,cybernetics,cybernetics,0.5333333333333333,0.4,0.2513888888888889,0.2805555555555555,2.083333333333333,0.2791666666666667,1,-3.299193,0.90637827,0.85049707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3141,прокариот,прокарио́та,prokɑrijot,prokarʲióta,prokaryotes,prokaryote,0.4545454545454545,0.2,0.10625,0.1291666666666666,1.575,0.10625,2,-7.626441499999999,0.6105265999999999,0.6890816999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3162,қарындаш,карандаш,qɑrəndɑʃ,karandaʂ,pencil,pencil,0.625,0.0,0.0416666666666666,0.046875,0.4375,0.0416666666666666,2,-1.6618805,0.9266883,0.79137737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3166,квазикристалл,квазикристалл,kvɑzijkrijstɑll,kvazʲikrʲistall,quasicrystal,quasicrystal,0.4,0.1333333333333333,0.1333333333333333,0.1527777777777777,1.1333333333333333,0.1472222222222222,0,-6.9816117,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3223,саламандра,салама́ндра,sɑlɑmɑndrɑ,salamándra,salamander,salamandra,0.4,0.1,0.025,0.0333333333333333,0.3,0.025,1,-3.9203099999999997,0.8786744000000001,0.8438652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3225,акушерлік,акушерство,ɑkwʃjerlɪk,akuʂerstvo,obstetrics,obstetrics,0.8,0.6,0.1520833333333333,0.1958333333333333,3.275,0.1520833333333333,4,-7.8512770000000005,0.87879205,0.7430404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3256,қожайын,хозя́ин,qoʒɑjən,xozʲáin,the host,master,0.7142857142857143,0.2857142857142857,0.1785714285714285,0.2023809523809523,1.7142857142857142,0.1934523809523809,5,-4.261319,0.65145355,0.4867303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3257,шайнек,ча́йник,ʃɑjnjek,t͡ɕʲájnik,kettle,teapot,0.7777777777777778,0.4285714285714285,0.1607142857142857,0.1785714285714285,1.5,0.1755952380952381,3,-0.92256105,0.7705369000000001,0.62327576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,loan
3300,ailə,عَائِلَة,ɑɪlæ,ʕَaːiːِٔlَt,family,family,0.9090909090909092,0.4,0.2875,0.325,3.6,0.3083333333333333,8,-5.9863005,0.8748064,0.6505430999999999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3327,müxtəlif,مُخْتَلِف,myxtælɪf,mُxْtَlِf,different,Different,0.4444444444444444,0.375,0.3359375,0.375,2.71875,0.375,9,-6.52541,0.66306305,0.67985606,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3328,səhv,سَهْو,sæhv,sَhْuː,wrong,oversight,0.6666666666666666,0.5,0.3125,0.3541666666666667,3.9375,0.3385416666666667,5,-0.48631728,0.80531436,0.30935913,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3330,mövcud,مَوْجُود,mœvd͡ʒud,mَuːْd͡ʒُuːd,available,Existing,0.5,0.1666666666666666,0.1944444444444444,0.2083333333333333,1.6666666666666667,0.2083333333333333,8,-3.9703696,0.829535,0.5291704,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3380,tale,طَالِع,tɑle,tˤَaːlِʕ,tale,horoscope,0.75,0.25,0.109375,0.125,2.40625,0.109375,6,-1.1053057,0.82343376,0.6875551,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3389,ruhi,رُوحِيّ‎,ruhɪ,rُuːħِiːّ‎,ruhi,رّوحِيّ,0.8,0.25,0.0625,0.0625,1.0625,0.0625,8,-4.070403,0.82664454,0.60201526,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3407,mücərrəd,مُجَرَّد,myd͡ʒærræd,mُd͡ʒَrَّd,abstract,merely,0.4,0.5,0.4401041666666667,0.5,3.625,0.5,8,-3.6469202000000003,0.83254457,0.5979245,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3410,aciz,عَاجِز,ɑd͡ʒɪz,ʕَaːd͡ʒِz,helpless,helpless,0.5555555555555556,0.5,0.234375,0.28125,3.9375,0.234375,6,-3.375431,0.7541843,0.79847455,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3433,müəllif,مُؤَلِّف,myællɪf,mُuːَٔlِّf,author,م .ؤَلِّف,0.7,0.4285714285714285,0.3988095238095238,0.4404761904761904,3.25,0.4404761904761904,8,-3.1334603,0.89643925,0.71983755,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3444,iflic,إِْفْلاج,ɪflɪd͡ʒ,aِْٕfْlaːd͡ʒ,paralysis,flac,0.5833333333333334,0.0,0.0583333333333333,0.0583333333333333,0.6,0.0583333333333333,8,-5.966341000000001,0.78529316,0.37969905,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3448,ahıl,عَاهِل,ɑhɯl,ʕَaːhِl,old man,king,0.7142857142857143,0.5,0.171875,0.2083333333333333,3.9375,0.171875,6,-2.663386,0.6746156999999999,0.30295798,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
