loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
pryk,Pâques,prɨk,pak,pryk,Easter,0.5,0.25,0.2395833333333333,0.28125,2.1875,0.28125,6,Latin,Latin,hard_negative
publicysta,politicienne,publit͡sɨsta,pɔlitisjɛn,publicist,politician,0.5833333333333334,0.4,0.2416666666666667,0.2625,2.4375,0.2604166666666667,9,Latin,Latin,hard_negative
publikacja,acclimatation,publikat͡sja,akklimatasjɔ̃,publication,acclimatization,0.5384615384615384,0.5833333333333334,0.2621527777777778,0.2881944444444445,3.2604166666666665,0.2795138888888889,10,Latin,Latin,hard_negative
puder,poubelle,pudɛr,pubɛl,can,trash,0.4,0.2,0.0458333333333333,0.0666666666666666,0.525,0.0458333333333333,5,Latin,Latin,hard_negative
puenta,pelta,puɛnta,pɛlta,bridge,pelta,0.3333333333333333,0.3333333333333333,0.1701388888888889,0.1875,1.5416666666666667,0.1875,2,Latin,Latin,hard_negative
puf,bouffe,puf,buf,puf,food,0.3333333333333333,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,4,Latin,Latin,hard_negative
pula,pouls,pula,pul,red,pulse,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,2,Latin,Latin,hard_negative
pulpet,boulette,pulpɛt,bulɛt,meatball,pellet,0.3333333333333333,0.1666666666666666,0.15625,0.1736111111111111,1.25,0.1736111111111111,5,Latin,Latin,hard_negative
pupil,goupil,pupil,ɡupi,pupil,pin,0.4,0.4,0.225,0.2416666666666666,1.9,0.2416666666666666,2,Latin,Latin,hard_negative
purée,poubelle,purɛ́ɛ,pubɛl,purée,trash,0.5,0.4,0.1,0.1333333333333333,2.125,0.1,5,Latin,Latin,hard_negative
quiche,douille,qujxɛ,dujl,quiche,socket,0.6,0.6,0.2625,0.3,2.8,0.2833333333333333,4,Latin,Latin,hard_negative
racjonalizować,nationalité,rat͡sjɔnalizɔvat͡ɕ,nasjɔnalite,rationalize,nationality,0.5,0.3571428571428571,0.2217261904761904,0.2470238095238095,1.9642857142857144,0.2410714285714285,8,Latin,Latin,hard_negative
racjonować,aficionado,rat͡sjɔnɔvat͡ɕ,afisjɔnado,ration,aficionado,0.5714285714285714,0.5,0.2729166666666666,0.3083333333333333,2.7,0.2895833333333333,8,Latin,Latin,hard_negative
radio,adieu,radjɔ,adjø,radio,adieu,0.4,0.2,0.1833333333333333,0.2166666666666666,1.6,0.2166666666666666,3,Latin,Latin,hard_negative
radykalny,radicaliser,radɨkalnɨ,ʀadikalizəʀ,radical,radicalize,0.5454545454545454,0.2727272727272727,0.1988636363636363,0.2272727272727272,1.9204545454545452,0.2196969696969697,6,Latin,Latin,hard_negative
rafinować,adénomatose,rafinɔvat͡ɕ,adenɔmatɔz,refine,adenomatosis,0.5454545454545454,0.6,0.2458333333333333,0.275,2.8625,0.25625,8,Latin,Latin,hard_negative
ramol,chaebol,ramɔl,ʃabɔl,ramol,chaebol,0.4,0.4,0.0666666666666666,0.0833333333333333,1.3,0.0666666666666666,4,Latin,Latin,hard_negative
randka,ananas,rantka,anana,date,pineapple,0.5,0.5,0.25,0.2916666666666667,3.4791666666666665,0.2777777777777778,4,Latin,Latin,hard_negative
raport,Lapointe,rapɔrt,lapɔɛ̃t,report,The point,0.4285714285714285,0.1666666666666666,0.0729166666666666,0.1111111111111111,1.3333333333333333,0.0729166666666666,4,Latin,Latin,hard_negative
reakcja,Katia,rɛakt͡sja,kasja,reaction,Katia,0.5555555555555556,0.5714285714285714,0.306547619047619,0.3511904761904762,3.0535714285714284,0.3422619047619047,5,Latin,Latin,hard_negative
realizacja,acclimatation,rɛalizat͡sja,akklimatasjɔ̃,implementation,acclimatization,0.5384615384615384,0.5,0.2552083333333333,0.2916666666666667,2.958333333333333,0.2725694444444445,10,Latin,Latin,hard_negative
realizator,localisateur,rɛalizatɔr,lɔkalizatœʀ,scorer,locator,0.4545454545454545,0.0909090909090909,0.1193181818181818,0.1439393939393939,1.1022727272727273,0.1287878787878787,6,Latin,Latin,hard_negative
realizm,Galice,rɛalizm,ɡaliz,realism,Galice,0.4285714285714285,0.4285714285714285,0.2886904761904762,0.3333333333333333,2.8035714285714284,0.3244047619047618,4,Latin,Latin,hard_negative
realizować,aliphatique,rɛalizɔvat͡ɕ,alifatik,realize,aliphatique,0.5833333333333334,0.4,0.25,0.2875,2.2875,0.2770833333333333,10,Latin,Latin,hard_negative
recepcja,perceptible,rɛt͡sɛpt͡sja,pɛʀsɛptibl,reception,perceptible,0.5833333333333334,0.7,0.25625,0.3,3.025,0.2791666666666667,7,Latin,Latin,hard_negative
recesja,Bestiac,rɛt͡sɛsja,bɛssjak,recession,Bestiac,0.5555555555555556,0.5714285714285714,0.2053571428571428,0.244047619047619,3.017857142857143,0.2053571428571428,6,Latin,Latin,hard_negative
redakcja,adactyle,rɛdakt͡sja,adaktil,editorial office,adactyle,0.6,0.5,0.1640625,0.1979166666666666,2.109375,0.1848958333333333,7,Latin,Latin,hard_negative
redaktor,adactyle,rɛdaktɔr,adaktil,editor,adactyle,0.5,0.125,0.1510416666666666,0.1822916666666666,1.40625,0.171875,6,Latin,Latin,hard_negative
referencja,déforestation,rɛfɛrɛnt͡sja,defɔʀɛstasjɔ̃,reference,deforestation,0.6153846153846154,0.4166666666666667,0.2239583333333333,0.2534722222222222,2.34375,0.2395833333333333,10,Latin,Latin,hard_negative
refren,Etienne,rɛfrɛn,ɛsjɛn,chorus,Stephen,0.5,0.3333333333333333,0.1979166666666666,0.25,2.1041666666666665,0.2256944444444444,6,Latin,Latin,hard_negative
regaty,agate,rɛɡatɨ,aɡat,regatta,agate,0.5,0.3333333333333333,0.3020833333333333,0.3472222222222221,2.5416666666666665,0.3472222222222221,3,Latin,Latin,hard_negative
regeneracja,organocatalyse,rɛɡɛnɛrat͡sja,ɔʀɡanɔkataljs,regeneration,organocatalysis,0.6153846153846154,0.5384615384615384,0.2419871794871795,0.2852564102564102,3.1153846153846154,0.2564102564102564,11,Latin,Latin,hard_negative
regenerować,adénomatose,rɛɡɛnɛrɔvat͡ɕ,adenɔmatɔz,regenerate,adenomatosis,0.6923076923076923,0.4545454545454545,0.2083333333333333,0.2386363636363636,2.1818181818181817,0.2234848484848484,11,Latin,Latin,hard_negative
regionalizm,nationalité,rɛɡʲjɔnalizm,nasjɔnalite,regionalism,nationality,0.5,0.2727272727272727,0.0738636363636363,0.0871212121212121,1.25,0.0738636363636363,5,Latin,Latin,hard_negative
regresja,Guernesiais,rɛɡrɛsja,ɡɥɛʀnɛsjɛ,regresja,Guernesiais,0.5555555555555556,0.3333333333333333,0.1736111111111111,0.2083333333333333,2.138888888888889,0.1851851851851851,7,Latin,Latin,hard_negative
regresywny,perfectionniste,rɛɡrɛsɨvnɨ,pɛʀfɛksjɔnist,regressive,perfectionist,0.6923076923076923,0.6153846153846154,0.3044871794871794,0.3525641025641025,3.5961538461538463,0.3253205128205128,12,Latin,Latin,hard_negative
regulator,aiglette,rɛɡulatɔr,ɛɡlɛt,regulator,aiglette,0.5555555555555556,0.4444444444444444,0.3935185185185185,0.4537037037037038,3.305555555555556,0.4537037037037038,6,Latin,Latin,hard_negative
rehabilitacja,fiabilisation,rɛxabilitat͡sja,fjabilizasjɔ̃,rehabilitation,reliability,0.5333333333333333,0.3076923076923077,0.1266025641025641,0.1442307692307692,1.5096153846153846,0.1378205128205128,8,Latin,Latin,hard_negative
rejestr,winchester,rɛjɛstr,wɛ̃ʃɛstəʀ,register,winchester,0.5555555555555556,0.25,0.2057291666666666,0.2447916666666666,2.515625,0.21875,6,Latin,Latin,hard_negative
rejon,Lettone,rɛjɔn,lɛtɔn,area,Latvian,0.4,0.2,0.0875,0.1083333333333333,1.675,0.0875,4,Latin,Latin,hard_negative
rejterować,interrogatrice,rɛjtɛrɔvat͡ɕ,ɛ̃tɛʀʀɔɡatʀiz,retreat,interrogatrice,0.6153846153846154,0.5833333333333334,0.2899305555555556,0.3333333333333333,3.458333333333333,0.3090277777777778,10,Latin,Latin,hard_negative
rekin,Eschine,rɛkʲin,ɛsʃin,with,Eschine,0.5,0.6,0.1375,0.1833333333333333,3.075,0.1375,5,Latin,Latin,hard_negative
reklama,climax,rɛklama,klima,advertising,climax,0.4285714285714285,0.2857142857142857,0.2589285714285714,0.2976190476190476,2.2142857142857144,0.2976190476190476,5,Latin,Latin,hard_negative
rekonesans,connaissance,rɛkɔnɛsans,kɔnɛsɑ̃s,recognition,awareness,0.4,0.3,0.275,0.3125,2.3,0.3104166666666667,9,Latin,Latin,hard_negative
rekreacja,Katia,rɛkrɛat͡sja,kasja,recreation,Katia,0.5454545454545454,0.5555555555555556,0.3935185185185185,0.4537037037037036,3.388888888888889,0.4537037037037036,7,Latin,Latin,hard_negative
relief,pelvien,rɛljɛf,pɛlvjɛ̃,relief,pelvic,0.4285714285714285,0.5,0.1631944444444444,0.2013888888888889,3.395833333333333,0.1631944444444444,3,Latin,Latin,hard_negative
remisja,Laëtitia,rɛmisja,lätisja,remission,Laetitia,0.4285714285714285,0.2857142857142857,0.0625,0.0773809523809524,0.875,0.0625,6,Latin,Latin,hard_negative
remont,Lettone,rɛmɔnt,lɛtɔn,renovation,Latvian,0.5,0.3333333333333333,0.2118055555555555,0.2430555555555555,2.1041666666666665,0.2256944444444444,4,Latin,Latin,hard_negative
rendez-vous,symplectomorphisme,rɛndɛz-vɔfs,sɛ̃plɛktɔmɔʀfism,appointment,symplectomorphism,0.6875,0.6,0.35,0.3944444444444444,3.4833333333333334,0.386111111111111,15,Latin,Latin,hard_negative
renegat,agate,rɛnɛɡat,aɡat,renegade,agate,0.5714285714285714,0.4285714285714285,0.3898809523809524,0.4404761904761904,3.2142857142857144,0.4404761904761904,5,Latin,Latin,hard_negative
reneta,Ginette,rɛnɛta,ʒinɛt,reneta,Ginette,0.5,0.3333333333333333,0.1979166666666666,0.2291666666666666,1.9583333333333333,0.2152777777777778,4,Latin,Latin,hard_negative
renoma,innommé,rɛnɔma,ɛnɔme,renown,unnamed,0.3333333333333333,0.1666666666666666,0.1458333333333333,0.1736111111111111,1.2916666666666667,0.1736111111111111,4,Latin,Latin,hard_negative
repertuar,cepstral,rɛpɛrtuar,sɛpstʀal,repertoire,cepstral,0.5555555555555556,0.4444444444444444,0.1805555555555555,0.2268518518518518,2.375,0.1921296296296296,5,Latin,Latin,hard_negative
replika,applicage,rɛplika,aplikaʒ,replica,applicage,0.4285714285714285,0.2857142857142857,0.2619047619047619,0.2976190476190475,2.1785714285714284,0.2916666666666666,5,Latin,Latin,hard_negative
reportaż,apostat,rɛpɔrtaʂ,apɔsta,reportage,apostate,0.5,0.375,0.25,0.2916666666666666,2.3125,0.28125,4,Latin,Latin,hard_negative
reprezentacja,pâtissoie,rɛprɛzɛntat͡sja,patiswa,representation,pastry,0.6666666666666666,0.4615384615384615,0.4358974358974358,0.4903846153846153,3.7115384615384617,0.4903846153846153,12,Latin,Latin,hard_negative
reprezentant,se mettre en tête,rɛprɛzɛntant,sə mɛtʀɛ ɛn tə̂t,representative,get in the head,0.625,0.5,0.1822916666666666,0.2256944444444444,3.0416666666666665,0.1822916666666666,11,Latin,Latin,hard_negative
reprezentować,supernova,rɛprɛzɛntɔvat͡ɕ,sypɛʀnɔva,represent,supernova,0.6,0.4615384615384615,0.3157051282051282,0.3589743589743589,2.9134615384615383,0.3477564102564102,8,Latin,Latin,hard_negative
reproduktor,productique,rɛprɔduktɔr,pʀɔdyktik,speaker,production,0.5454545454545454,0.2727272727272727,0.2196969696969697,0.2613636363636363,2.1818181818181817,0.2443181818181817,7,Latin,Latin,hard_negative
reprymenda,peppermint,rɛprɨmɛnda,pɛpɛʀmɛ̃,reprymenda,peppermint,0.6,0.6,0.3375,0.3875,3.4,0.38125,7,Latin,Latin,hard_negative
republika,periombilical,rɛpublika,pɛʀjɔ̃bilikal,republic,periumbilical,0.5384615384615384,0.4166666666666667,0.2881944444444444,0.3229166666666667,2.8229166666666665,0.3125,8,Latin,Latin,hard_negative
resentyment,estafette,rɛsɛntɨmɛnt,ɛstafɛt,resentyment,relay race,0.5454545454545454,0.4545454545454545,0.3522727272727273,0.393939393939394,3.125,0.3920454545454545,7,Latin,Latin,hard_negative
resor,caisson,rɛsɔr,kɛsɔ̃,travel,caisson,0.4,0.4,0.2375,0.2916666666666667,2.625,0.2708333333333333,5,Latin,Latin,hard_negative
resort,caisson,rɛsɔrt,kɛsɔ̃,resort,caisson,0.5,0.5,0.3506944444444444,0.4097222222222222,3.395833333333333,0.3923611111111111,6,Latin,Latin,hard_negative
respektować,perspectivisme,rɛspɛktɔvat͡ɕ,pɛʀspɛktivism,respect,perspectiveism,0.5384615384615384,0.3076923076923077,0.1955128205128205,0.2211538461538461,1.9519230769230769,0.2131410256410256,9,Latin,Latin,hard_negative
respirator,respiration,rɛspiratɔr,ʀɛspiʀasjɔ̃,respirator,respiration,0.4545454545454545,0.2,0.09375,0.1291666666666666,1.5625,0.09375,2,Latin,Latin,hard_negative
restauracja,destination,rɛstavrat͡sja,dɛstinasjɔ̃,restaurant,destination,0.6153846153846154,0.3636363636363636,0.1477272727272727,0.1704545454545454,1.681818181818182,0.1553030303030303,8,Latin,Latin,hard_negative
restaurator,escalateur,rɛstavratɔr,ɛskalatœʀ,restorer,escalator,0.5454545454545454,0.2727272727272727,0.2064393939393939,0.2462121212121212,1.8636363636363635,0.2291666666666666,6,Latin,Latin,hard_negative
restytuować,chrestomathie,rɛstɨtuɔvat͡ɕ,ʃʀɛstɔmati,restore,chrestomathie,0.6153846153846154,0.4545454545454545,0.2803030303030303,0.3295454545454545,3.090909090909091,0.2897727272727273,9,Latin,Latin,hard_negative
retusz,Destour,rɛtuʂ,dɛstuʀ,retouch,Destour,0.5,0.5,0.2152777777777777,0.25,2.4791666666666665,0.2291666666666666,5,Latin,Latin,hard_negative
retuszować,autolâtre,rɛtuʂɔvat͡ɕ,otɔlatʀ,retouch,self-loathing,0.6363636363636364,0.5555555555555556,0.3078703703703704,0.3472222222222222,3.2916666666666665,0.3356481481481481,9,Latin,Latin,hard_negative
Reunion,Lettone,rɛvɲɔn,lɛtɔn,Reunion,Latvian,0.5,0.3333333333333333,0.2048611111111111,0.2430555555555555,1.875,0.2222222222222222,5,Latin,Latin,hard_negative
rewaloryzacja,valorisable,rɛvalɔrɨzat͡sja,valɔʀizabl,revaluation,recoverable,0.6,0.3076923076923077,0.25,0.2884615384615384,2.3173076923076925,0.2788461538461538,8,Latin,Latin,hard_negative
rewanż,berrani,rɛvanʂ,bɛʀʀani,revenge,Prani,0.5714285714285714,0.5714285714285714,0.238095238095238,0.2857142857142857,3.4285714285714284,0.2559523809523809,4,Latin,Latin,hard_negative
rewanżować,éthanolate,rɛvanʐɔvat͡ɕ,etanɔlat,revenge,ethanolate,0.5833333333333334,0.5,0.2375,0.2708333333333333,2.275,0.2625,7,Latin,Latin,hard_negative
rewelacja,Laëtitia,rɛvɛlat͡sja,lätisja,revelation,Laetitia,0.5454545454545454,0.5555555555555556,0.2615740740740741,0.2916666666666667,2.388888888888889,0.2824074074074074,8,Latin,Latin,hard_negative
rewers,perversion,rɛvɛrs,pɛʀvɛʀsjɔ̃,rewers,perversion,0.6,0.4444444444444444,0.349537037037037,0.4074074074074074,3.2222222222222223,0.3865740740740741,6,Latin,Latin,hard_negative
rewia,bauhinia,rɛvja,boɛ̃ja,review,Bauhinia,0.5,0.4,0.1333333333333333,0.1666666666666666,2.775,0.1333333333333333,6,Latin,Latin,hard_negative
rewizjonista,fillonniste,rɛvizjɔɲista,fijɔnist,revisionist,fillonist,0.5,0.3333333333333333,0.3107638888888889,0.3506944444444444,2.5729166666666665,0.3489583333333333,7,Latin,Latin,hard_negative
rewizor,cervicite,rɛvizɔr,sɛʀvizit,rewizor,cervicitis,0.5,0.375,0.1770833333333333,0.2135416666666666,2.0625,0.1927083333333333,7,Latin,Latin,hard_negative
rewolta,pelta,rɛvɔlta,pɛlta,rewolta,pelta,0.4285714285714285,0.2857142857142857,0.2738095238095238,0.3154761904761905,2.4107142857142856,0.3125,3,Latin,Latin,hard_negative
rezerwa,terrain vague,rɛzɛrva,tɛʀʀɛn vaɡ,reserve,wasteland,0.6,0.5555555555555556,0.261574074074074,0.3101851851851852,2.7916666666666665,0.287037037037037,11,Latin,Latin,hard_negative
rezerwuar,bellovaque,rɛzɛrvuar,bɛlɔvak,reservoir,war,0.6666666666666666,0.5555555555555556,0.2754629629629629,0.3287037037037036,3.1666666666666665,0.3055555555555556,9,Latin,Latin,hard_negative
rezolucja,désolvatation,rɛzɔlut͡sja,dezɔlvatasjɔ̃,resolution,desolvation,0.5384615384615384,0.4166666666666667,0.2829861111111111,0.3125,2.6041666666666665,0.3055555555555555,10,Latin,Latin,hard_negative
rezon,Lettone,rɛzɔn,lɛtɔn,reason,Latvian,0.4,0.0,0.0416666666666666,0.0583333333333333,0.55,0.0416666666666666,4,Latin,Latin,hard_negative
rezonans,bonnasse,rɛzɔnans,bɔnas,resonance,bonnasse,0.5,0.5,0.3489583333333333,0.3958333333333333,2.984375,0.3932291666666667,6,Latin,Latin,hard_negative
rezonować,axonométrie,rɛzɔnɔvat͡ɕ,aɡzɔnɔmetʀi,resonate,axonometry,0.5454545454545454,0.5454545454545454,0.2443181818181818,0.2840909090909091,3.159090909090909,0.2651515151515151,9,Latin,Latin,hard_negative
rezultat,pelta,rɛzultat,pɛlta,the result,pelta,0.5,0.5,0.3802083333333333,0.4270833333333333,3.296875,0.4140625,4,Latin,Latin,hard_negative
rezydencja,immodeste,rɛzɨdɛnt͡sja,ɛmɔdɛst,residence,immodeste,0.6666666666666666,0.6,0.31875,0.3583333333333333,3.1875,0.35625,8,Latin,Latin,hard_negative
rezydent,immodeste,rɛzɨdɛnt,ɛmɔdɛst,resident,immodeste,0.5,0.375,0.1692708333333333,0.1927083333333333,2.109375,0.1901041666666666,6,Latin,Latin,hard_negative
rezydować,abandonnateur,rɛzɨdɔvat͡ɕ,abɑ̃dɔnatœʀ,reside,abandoner,0.6363636363636364,0.5,0.2395833333333333,0.2708333333333333,2.975,0.25,10,Latin,Latin,hard_negative
rezygnacja,ingracieux,rɛzɨɡnat͡sja,ɛ̃ɡʀasjœ,resignation,ingracious,0.5833333333333334,0.5,0.3145833333333333,0.3541666666666667,2.8375,0.35,9,Latin,Latin,hard_negative
rezygnować,adénomatose,rɛzɨɡnɔvat͡ɕ,adenɔmatɔz,quit,adenomatosis,0.6666666666666666,0.6,0.23125,0.275,3.2,0.23125,10,Latin,Latin,hard_negative
reżim,zaydisme,rɛʐim,zɛdism,regime,Zaydism,0.5,0.3333333333333333,0.1875,0.2152777777777778,1.9583333333333333,0.2013888888888888,6,Latin,Latin,hard_negative
reżym,zaydisme,rɛʐɨm,zɛdism,regime,Zaydism,0.6666666666666666,0.3333333333333333,0.1944444444444444,0.2222222222222222,2.0416666666666665,0.2083333333333333,7,Latin,Latin,hard_negative
reżyser,Tessin,rɛʐɨsɛr,tɛsɛ̃,director,Ticino,0.5714285714285714,0.4285714285714285,0.4077380952380953,0.4702380952380952,3.607142857142857,0.4642857142857142,5,Latin,Latin,hard_negative
riposta,apostat,ripɔsta,apɔsta,answer,apostate,0.2857142857142857,0.1428571428571428,0.1309523809523809,0.1547619047619047,1.1785714285714286,0.1547619047619047,3,Latin,Latin,hard_negative
rokoko,monocorps,rɔkɔkɔ,mɔnɔkɔʀ,Rococo,unibody,0.4285714285714285,0.4285714285714285,0.2083333333333333,0.244047619047619,2.25,0.2261904761904762,6,Latin,Latin,hard_negative
rola,Colas,rɔla,kɔla,role,Colas,0.25,0.25,0.078125,0.1041666666666666,1.34375,0.078125,2,Latin,Latin,hard_negative
rolada,aplanat,rɔlada,aplana,rolled,flattened,0.5,0.5,0.1215277777777777,0.1527777777777778,2.9375,0.1215277777777777,4,Latin,Latin,hard_negative
roleta,mollett,rɔlɛta,mɔlɛt,roulette,mollett,0.3333333333333333,0.3333333333333333,0.1944444444444444,0.2291666666666666,1.8125,0.2118055555555555,3,Latin,Latin,hard_negative
romans,omanais,rɔmans,ɔmanɛ,romans,omani,0.3333333333333333,0.3333333333333333,0.1840277777777778,0.2222222222222222,2.4166666666666665,0.2118055555555555,3,Latin,Latin,hard_negative
rondel,gonnelle,rɔndɛl,ɡɔnɛl,rondel,skirts,0.3333333333333333,0.3333333333333333,0.1979166666666666,0.2291666666666666,2.0625,0.2118055555555555,4,Latin,Latin,hard_negative
rondo,Dordogne,rɔndɔ,dɔʀdɔɲ,rondo,Dordogne,0.5,0.5,0.21875,0.2569444444444445,2.4375,0.236111111111111,5,Latin,Latin,hard_negative
rotacja,Katia,rɔtat͡sja,kasja,rotation,Katia,0.5555555555555556,0.4285714285714285,0.2857142857142857,0.3273809523809524,2.5892857142857144,0.3244047619047619,5,Latin,Latin,hard_negative
rozeta,dosette,rɔzɛta,dɔzɛt,rosette,pod,0.3333333333333333,0.3333333333333333,0.1770833333333333,0.2083333333333333,1.875,0.1944444444444444,4,Latin,Latin,hard_negative
rudymentarny,iodométhane,rudɨmɛntarnɨ,jɔdɔmetan,rudymentarny,iodomethane,0.5833333333333334,0.25,0.2638888888888889,0.3020833333333333,2.3854166666666665,0.2934027777777777,8,Latin,Latin,hard_negative
rusyfikacja,tissu cicatriciel,rusɨfikat͡sja,tisy sikatʀisjəl,Russification,scar tissue,0.5625,0.4666666666666667,0.2902777777777778,0.325,2.6166666666666667,0.3166666666666666,13,Latin,Latin,hard_negative
rutyna,Matina,rutɨna,matina,routine,Morning,0.5,0.1666666666666666,0.0868055555555555,0.1041666666666666,1.1041666666666667,0.0868055555555555,3,Latin,Latin,hard_negative
rykoszet,Nicolette,rɨkɔʂɛt,nikɔlɛt,rebound,Nicolette,0.4285714285714285,0.2857142857142857,0.0535714285714285,0.0654761904761904,0.8928571428571429,0.0535714285714285,7,Latin,Latin,hard_negative
rywal,val,rɨval,val,rival,val,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,3,Latin,Latin,hard_negative
rywalizować,localisateur,rɨvalizɔvat͡ɕ,lɔkalizatœʀ,compete,locator,0.5384615384615384,0.2727272727272727,0.1193181818181818,0.1363636363636363,1.5227272727272727,0.1193181818181818,9,Latin,Latin,hard_negative
sabot,saboter,sabɔt,sabɔtəʀ,Understand,sabotage,0.2857142857142857,0.2857142857142857,0.2529761904761905,0.2857142857142857,2.071428571428572,0.2857142857142857,2,Latin,Latin,hard_negative
sadysta,apostat,sadɨsta,apɔsta,sadysta,apostate,0.4285714285714285,0.2857142857142857,0.1696428571428571,0.1845238095238095,1.4107142857142858,0.181547619047619,4,Latin,Latin,hard_negative
sadyzm,fadaise,sadɨzm,fadɛz,sad,fascist,0.5,0.3333333333333333,0.1909722222222222,0.2152777777777777,1.625,0.2083333333333333,5,Latin,Latin,hard_negative
Saint-Barthélemy,storytelling,sajnt-bartxɛ́lɛmɨ,stɔʀitɛlɛ̃ɡ,Saint Barthélemy,storytelling,0.6470588235294118,0.5333333333333333,0.3666666666666666,0.4138888888888889,3.783333333333333,0.4055555555555556,13,Latin,Latin,hard_negative
Saint-Martin,acousmatique,sajnt-martin,akusmatik,Saint-Martin,acousmatic,0.5833333333333334,0.4545454545454545,0.25,0.2803030303030303,3.147727272727273,0.2727272727272727,10,Latin,Latin,hard_negative
sak,cake,sak,kak,Thing,cake,0.3333333333333333,0.3333333333333333,0.0763888888888888,0.0833333333333333,1.0416666666666667,0.0763888888888888,2,Latin,Latin,hard_negative
sala,smala,sala,smala,sala,narrow,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,Latin,Latin,hard_negative
salceson,Alceste,salt͡sɛsɔn,alsɛst,salceson,Alceste,0.5,0.5,0.2526041666666667,0.2760416666666666,2.34375,0.2760416666666666,4,Latin,Latin,hard_negative
salon,abalone,salɔn,abalɔn,salon,abalone,0.3333333333333333,0.3333333333333333,0.1805555555555555,0.2013888888888888,1.6041666666666667,0.1979166666666666,3,Latin,Latin,hard_negative
sangwina,alevinage,sanɡvina,aləvinaʒ,sangwina,alevinage,0.5,0.5,0.2760416666666666,0.3020833333333333,3.046875,0.2864583333333333,6,Latin,Latin,hard_negative
sankcja,Katia,sankt͡sja,kasja,sanction,Katia,0.5555555555555556,0.5714285714285714,0.3035714285714285,0.3333333333333333,2.732142857142857,0.3303571428571429,5,Latin,Latin,hard_negative
sankcjonować,anational,sankt͡sjɔnɔvat͡ɕ,anasjɔnal,sanction,anational,0.5625,0.5,0.2934027777777777,0.3194444444444445,3.15625,0.3159722222222222,7,Latin,Latin,hard_negative
sankiulota,acolytat,sankʲivlɔta,akɔljta,sankiulota,acolytat,0.5454545454545454,0.5,0.3166666666666666,0.3458333333333333,2.7875,0.3416666666666667,7,Latin,Latin,hard_negative
Saona,sana,saɔna,sana,Saona,very,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,2,Latin,Latin,hard_negative
sarabanda,Albanie,sarabanda,albani,saraband,Albania,0.5555555555555556,0.3333333333333333,0.3263888888888889,0.3657407407407407,2.6944444444444446,0.3564814814814815,6,Latin,Latin,hard_negative
sarkofag,saprophage,sarkɔfak,sapʀɔfaʒ,sarcophagus,saprophage,0.375,0.375,0.0911458333333333,0.109375,1.53125,0.0911458333333333,5,Latin,Latin,hard_negative
saszetka,sarthois,saʂɛtka,saʀtwa,sachet,sarthois,0.4285714285714285,0.4285714285714285,0.1934523809523809,0.2142857142857142,2.446428571428572,0.2053571428571428,6,Latin,Latin,hard_negative
satyna,Matina,satɨna,matina,satin,Morning,0.3333333333333333,0.1666666666666666,0.0520833333333333,0.0555555555555555,0.8958333333333334,0.0520833333333333,2,Latin,Latin,hard_negative
satyr,sarthois,satɨr,saʀtwa,satyr,sarthois,0.5,0.5,0.21875,0.2708333333333333,2.770833333333333,0.2395833333333333,5,Latin,Latin,hard_negative
satysfakcja,atactique,satɨsfakt͡sja,ataktik,satisfaction,atactic,0.6153846153846154,0.5454545454545454,0.3768939393939394,0.4166666666666667,3.352272727272727,0.4090909090909091,9,Latin,Latin,hard_negative
savoir-vivre,avornine,savɔjr-vivrɛ,avɔʀnin,good manners,avornine,0.6666666666666666,0.5454545454545454,0.375,0.4242424242424242,3.386363636363636,0.4071969696969696,6,Latin,Latin,hard_negative
sawant,shivaïte,savant,sivait,sawant,shivaïte,0.3333333333333333,0.1666666666666666,0.0659722222222222,0.0763888888888888,1.3333333333333333,0.0659722222222222,5,Latin,Latin,hard_negative
sceptyczny,acceptatif,st͡sɛptɨt͡ʂnɨ,aksɛptatif,skeptical,accepting,0.6153846153846154,0.5,0.2708333333333333,0.3166666666666666,3.3375,0.2708333333333333,7,Latin,Latin,hard_negative
sceptyk,cent sept ans,st͡sɛptɨk,sɑ̃t sɛpt ɑ̃,skeptic,cent sept ans,0.5,0.5,0.296875,0.34375,3.0,0.3125,10,Latin,Latin,hard_negative
scjentyzm,station essence,st͡sjɛntɨzm,stasjɔn ɛsɑ̃s,scientism,station essence,0.6153846153846154,0.4545454545454545,0.2765151515151515,0.3106060606060606,3.0454545454545454,0.2954545454545454,13,Latin,Latin,hard_negative
scysja,antisocial,st͡sɨsja,ɑ̃tizɔsjal,scysja,antisocial,0.6,0.4444444444444444,0.3310185185185185,0.3657407407407407,2.861111111111111,0.3657407407407407,8,Latin,Latin,hard_negative
seans,cyane,sɛans,sian,chance,very much,0.4,0.2,0.2,0.2166666666666666,1.6,0.2166666666666666,3,Latin,Latin,hard_negative
